ID,lat,long
405,5,25
406,2.5,25
407,0,25
408,90,27.5
409,87.5,27.5
410,85,27.5
411,82.5,27.5
412,80,27.5
413,77.5,27.5
414,75,27.5
415,72.5,27.5
416,70,27.5
417,67.5,27.5
418,65,27.5
419,62.5,27.5
420,60,27.5
421,57.5,27.5
422,55,27.5
423,52.5,27.5
424,50,27.5
425,47.5,27.5
426,45,27.5
427,42.5,27.5
428,40,27.5
429,37.5,27.5
430,35,27.5
431,32.5,27.5
432,30,27.5
433,27.5,27.5
434,25,27.5
435,22.5,27.5
436,20,27.5
437,17.5,27.5
438,15,27.5
439,12.5,27.5
440,10,27.5
441,7.5,27.5
442,5,27.5
443,2.5,27.5
444,0,27.5
445,90,30
446,87.5,30
447,85,30
448,82.5,30
449,80,30
450,77.5,30
451,75,30
452,72.5,30
453,70,30
454,67.5,30
455,65,30
456,62.5,30
457,60,30
458,57.5,30
459,55,30
460,52.5,30
461,50,30
462,47.5,30
463,45,30
464,42.5,30
465,40,30
466,37.5,30
467,35,30
468,32.5,30
469,30,30
470,27.5,30
471,25,30
472,22.5,30
473,20,30
474,17.5,30
475,15,30
476,12.5,30
477,10,30
478,7.5,30
479,5,30
480,2.5,30
481,0,30
482,90,32.5
483,87.5,32.5
484,85,32.5
485,82.5,32.5
486,80,32.5
487,77.5,32.5
488,75,32.5
489,72.5,32.5
490,70,32.5
491,67.5,32.5
492,65,32.5
493,62.5,32.5
494,60,32.5
495,57.5,32.5
496,55,32.5
497,52.5,32.5
498,50,32.5
499,47.5,32.5
500,45,32.5
501,42.5,32.5
502,40,32.5
503,37.5,32.5
504,35,32.5
505,32.5,32.5
506,30,32.5
507,27.5,32.5
508,25,32.5
509,22.5,32.5
510,20,32.5
511,17.5,32.5
512,15,32.5
513,12.5,32.5
514,10,32.5
515,7.5,32.5
516,5,32.5
517,2.5,32.5
518,0,32.5
519,90,35
520,87.5,35
521,85,35
522,82.5,35
523,80,35
524,77.5,35
525,75,35
526,72.5,35
527,70,35
528,67.5,35
529,65,35
530,62.5,35
531,60,35
532,57.5,35
533,55,35
534,52.5,35
535,50,35
536,47.5,35
537,45,35
538,42.5,35
539,40,35
540,37.5,35
541,35,35
542,32.5,35
543,30,35
544,27.5,35
545,25,35
546,22.5,35
547,20,35
548,17.5,35
549,15,35
550,12.5,35
551,10,35
552,7.5,35
553,5,35
554,2.5,35
555,0,35
556,90,37.5
557,87.5,37.5
558,85,37.5
559,82.5,37.5
560,80,37.5
561,77.5,37.5
562,75,37.5
563,72.5,37.5
564,70,37.5
565,67.5,37.5
566,65,37.5
567,62.5,37.5
568,60,37.5
569,57.5,37.5
570,55,37.5
571,52.5,37.5
572,50,37.5
573,47.5,37.5
574,45,37.5
575,42.5,37.5
576,40,37.5
577,37.5,37.5
578,35,37.5
579,32.5,37.5
580,30,37.5
581,27.5,37.5
582,25,37.5
583,22.5,37.5
584,20,37.5
585,17.5,37.5
586,15,37.5
587,12.5,37.5
588,10,37.5
589,7.5,37.5
590,5,37.5
591,2.5,37.5
592,0,37.5
593,90,40
594,87.5,40
595,85,40
596,82.5,40
597,80,40
598,77.5,40
599,75,40
600,72.5,40
601,70,40
602,67.5,40
603,65,40
604,62.5,40
605,60,40
606,57.5,40
607,55,40
608,52.5,40
609,50,40
610,47.5,40
611,45,40
612,42.5,40
613,40,40
614,37.5,40
615,35,40
616,32.5,40
617,30,40
618,27.5,40
619,25,40
620,22.5,40
621,20,40
622,17.5,40
623,15,40
624,12.5,40
625,10,40
626,7.5,40
627,5,40
628,2.5,40
629,0,40
630,90,42.5
631,87.5,42.5
632,85,42.5
633,82.5,42.5
634,80,42.5
635,77.5,42.5
636,75,42.5
637,72.5,42.5
638,70,42.5
639,67.5,42.5
640,65,42.5
641,62.5,42.5
642,60,42.5
643,57.5,42.5
644,55,42.5
645,52.5,42.5
646,50,42.5
647,47.5,42.5
648,45,42.5
649,42.5,42.5
650,40,42.5
651,37.5,42.5
652,35,42.5
653,32.5,42.5
654,30,42.5
655,27.5,42.5
656,25,42.5
657,22.5,42.5
658,20,42.5
659,17.5,42.5
660,15,42.5
661,12.5,42.5
662,10,42.5
663,7.5,42.5
664,5,42.5
665,2.5,42.5
666,0,42.5
667,90,45
668,87.5,45
669,85,45
670,82.5,45
671,80,45
672,77.5,45
673,75,45
674,72.5,45
675,70,45
676,67.5,45
677,65,45
678,62.5,45
679,60,45
680,57.5,45
681,55,45
682,52.5,45
683,50,45
684,47.5,45
685,45,45
686,42.5,45
687,40,45
688,37.5,45
689,35,45
690,32.5,45
691,30,45
692,27.5,45
693,25,45
694,22.5,45
695,20,45
696,17.5,45
697,15,45
698,12.5,45
699,10,45
700,7.5,45
701,5,45
702,2.5,45
703,0,45
704,90,47.5
705,87.5,47.5
706,85,47.5
707,82.5,47.5
708,80,47.5
709,77.5,47.5
710,75,47.5
711,72.5,47.5
712,70,47.5
713,67.5,47.5
714,65,47.5
715,62.5,47.5
716,60,47.5
717,57.5,47.5
718,55,47.5
719,52.5,47.5
720,50,47.5
721,47.5,47.5
722,45,47.5
723,42.5,47.5
724,40,47.5
725,37.5,47.5
726,35,47.5
727,32.5,47.5
728,30,47.5
729,27.5,47.5
730,25,47.5
731,22.5,47.5
732,20,47.5
733,17.5,47.5
734,15,47.5
735,12.5,47.5
736,10,47.5
737,7.5,47.5
738,5,47.5
739,2.5,47.5
740,0,47.5
741,90,50
742,87.5,50
743,85,50
744,82.5,50
745,80,50
746,77.5,50
747,75,50
748,72.5,50
749,70,50
750,67.5,50
751,65,50
752,62.5,50
753,60,50
754,57.5,50
755,55,50
756,52.5,50
757,50,50
758,47.5,50
759,45,50
760,42.5,50
761,40,50
762,37.5,50
763,35,50
764,32.5,50
765,30,50
766,27.5,50
767,25,50
768,22.5,50
769,20,50
770,17.5,50
771,15,50
772,12.5,50
773,10,50
774,7.5,50
775,5,50
776,2.5,50
777,0,50
778,90,52.5
779,87.5,52.5
780,85,52.5
781,82.5,52.5
782,80,52.5
783,77.5,52.5
784,75,52.5
785,72.5,52.5
786,70,52.5
787,67.5,52.5
788,65,52.5
789,62.5,52.5
790,60,52.5
791,57.5,52.5
792,55,52.5
793,52.5,52.5
794,50,52.5
795,47.5,52.5
796,45,52.5
797,42.5,52.5
798,40,52.5
799,37.5,52.5
800,35,52.5
801,32.5,52.5
802,30,52.5
803,27.5,52.5
804,25,52.5
805,22.5,52.5
806,20,52.5
807,17.5,52.5
808,15,52.5
809,12.5,52.5
810,10,52.5
811,7.5,52.5
812,5,52.5
813,2.5,52.5
814,0,52.5
815,90,55
816,87.5,55
817,85,55
818,82.5,55
819,80,55
820,77.5,55
821,75,55
822,72.5,55
823,70,55
824,67.5,55
825,65,55
826,62.5,55
827,60,55
828,57.5,55
829,55,55
830,52.5,55
831,50,55
832,47.5,55
833,45,55
834,42.5,55
835,40,55
836,37.5,55
837,35,55
838,32.5,55
839,30,55
840,27.5,55
841,25,55
842,22.5,55
843,20,55
844,17.5,55
845,15,55
846,12.5,55
847,10,55
848,7.5,55
849,5,55
850,2.5,55
851,0,55
852,90,57.5
853,87.5,57.5
854,85,57.5
855,82.5,57.5
856,80,57.5
857,77.5,57.5
858,75,57.5
859,72.5,57.5
860,70,57.5
861,67.5,57.5
862,65,57.5
863,62.5,57.5
864,60,57.5
865,57.5,57.5
866,55,57.5
867,52.5,57.5
868,50,57.5
869,47.5,57.5
870,45,57.5
871,42.5,57.5
872,40,57.5
873,37.5,57.5
874,35,57.5
875,32.5,57.5
876,30,57.5
877,27.5,57.5
878,25,57.5
879,22.5,57.5
880,20,57.5
881,17.5,57.5
882,15,57.5
883,12.5,57.5
884,10,57.5
885,7.5,57.5
886,5,57.5
887,2.5,57.5
888,0,57.5
889,90,60
890,87.5,60
891,85,60
892,82.5,60
893,80,60
894,77.5,60
895,75,60
896,72.5,60
897,70,60
898,67.5,60
899,65,60
900,62.5,60
901,60,60
902,57.5,60
903,55,60
904,52.5,60
905,50,60
906,47.5,60
907,45,60
908,42.5,60
909,40,60
910,37.5,60
911,35,60
912,32.5,60
913,30,60
914,27.5,60
915,25,60
916,22.5,60
917,20,60
918,17.5,60
919,15,60
920,12.5,60
921,10,60
922,7.5,60
923,5,60
924,2.5,60
925,0,60
926,90,62.5
927,87.5,62.5
928,85,62.5
929,82.5,62.5
930,80,62.5
931,77.5,62.5
932,75,62.5
933,72.5,62.5
934,70,62.5
935,67.5,62.5
936,65,62.5
937,62.5,62.5
938,60,62.5
939,57.5,62.5
940,55,62.5
941,52.5,62.5
942,50,62.5
943,47.5,62.5
944,45,62.5
945,42.5,62.5
946,40,62.5
947,37.5,62.5
948,35,62.5
949,32.5,62.5
950,30,62.5
951,27.5,62.5
952,25,62.5
953,22.5,62.5
954,20,62.5
955,17.5,62.5
956,15,62.5
957,12.5,62.5
958,10,62.5
959,7.5,62.5
960,5,62.5
961,2.5,62.5
962,0,62.5
963,90,65
964,87.5,65
965,85,65
966,82.5,65
967,80,65
968,77.5,65
969,75,65
970,72.5,65
971,70,65
972,67.5,65
973,65,65
974,62.5,65
975,60,65
976,57.5,65
977,55,65
978,52.5,65
979,50,65
980,47.5,65
981,45,65
982,42.5,65
983,40,65
984,37.5,65
985,35,65
986,32.5,65
987,30,65
988,27.5,65
989,25,65
990,22.5,65
991,20,65
992,17.5,65
993,15,65
994,12.5,65
995,10,65
996,7.5,65
997,5,65
998,2.5,65
999,0,65
1000,90,67.5
1001,87.5,67.5
1002,85,67.5
1003,82.5,67.5
1004,80,67.5
1005,77.5,67.5
1006,75,67.5
1007,72.5,67.5
1008,70,67.5
1009,67.5,67.5
1010,65,67.5
1011,62.5,67.5
1012,60,67.5
1013,57.5,67.5
1014,55,67.5
1015,52.5,67.5
1016,50,67.5
1017,47.5,67.5
1018,45,67.5
1019,42.5,67.5
1020,40,67.5
1021,37.5,67.5
1022,35,67.5
1023,32.5,67.5
1024,30,67.5
1025,27.5,67.5
1026,25,67.5
1027,22.5,67.5
1028,20,67.5
1029,17.5,67.5
1030,15,67.5
1031,12.5,67.5
1032,10,67.5
1033,7.5,67.5
1034,5,67.5
1035,2.5,67.5
1036,0,67.5
1037,90,70
1038,87.5,70
1039,85,70
1040,82.5,70
1041,80,70
1042,77.5,70
1043,75,70
1044,72.5,70
1045,70,70
1046,67.5,70
1047,65,70
1048,62.5,70
1049,60,70
1050,57.5,70
1051,55,70
1052,52.5,70
1053,50,70
1054,47.5,70
1055,45,70
1056,42.5,70
1057,40,70
1058,37.5,70
1059,35,70
1060,32.5,70
1061,30,70
1062,27.5,70
1063,25,70
1064,22.5,70
1065,20,70
